N1,N2,Thrust,FuelFlow,FanCycles,LPCCycles,HPCCycles,HPTCycles,LPTCycles,FlightStatus
80.7865861524605,82.63973835463948,27.079484072407645,470.9388889656732,1160.4107455439043,1064.7134111035962,1469.762377970934,1376.072685284815,1724.0926556205793,Fly
86.04274511608502,92.62973058481657,18.451601190102394,315.9151162426335,1046.2483624066854,1051.152391988964,1201.3043374376953,1361.9032946588532,1462.4903594654043,Ground
86.67937134379312,89.28644950099172,20.131187981646345,210.99004354412688,1024.2882013150274,1375.5217743719902,1316.7509822986447,1343.945269045799,1404.3030973321281,Ground
86.8350288665226,91.56704959332265,18.587334828757246,214.2120005444624,1105.811832508715,1119.4842340270138,1214.8876803917692,1412.8239783268837,1338.087705175007,Ground
82.48234743033208,85.50293328068732,20.673843905078456,220.99733793149784,911.8931663338708,1246.2195938717637,1287.0746644588403,1401.0274586836015,1281.8018003931782,Ground
90.25836704239352,94.03924214666459,30.567683550719675,350.4428851834448,1044.1200427937658,1328.4104695178899,1268.8324114234765,1368.9603196244032,1555.982844882806,Fly
88.44781997885703,90.2105316912773,17.482946425228846,192.2818665883508,939.1773492555241,1000.5571478200208,1203.1491562261995,1439.025532751199,1325.7613629569266,Ground
86.54510580162598,90.68557966008319,21.068506604045933,219.76276677308937,1068.2069490062631,1149.4063918975519,1304.8482651050592,1069.5788064056032,1319.0275164232717,Ground
88.49953829381055,89.50924330391199,29.511152108446584,379.02838435178074,1194.6577003573386,1074.6598281704983,1279.0624386688087,1328.9863393162618,1455.5053609104748,Fly
84.28954417977997,86.54834249783704,17.12338672303032,254.099777820678,1020.7802507353314,1051.8234028906525,1404.217791053473,1317.6150451887693,1636.5407771999974,Ground
80.80429727854258,87.47512072991377,16.52134767490122,221.50835358806205,908.367908092658,941.6411610212419,1285.7898825291343,1186.6578981707378,1442.243497290144,Ground
85.23210492294285,87.98178726538032,22.488828576173606,288.41036083158684,1121.8194711754256,1041.066776857264,1050.384118683535,1283.7296298430908,1275.5513550111134,Ground
88.7382555774929,91.58989445993696,21.390705934153345,186.53347517266505,860.9778074846538,1165.230615161023,1351.5444808352247,1263.7652442453898,1520.5818420716043,Ground
87.55730000438867,91.14129490783647,19.16753257090984,269.89635249734044,1029.2715482141853,1092.1769340941482,1238.31681897589,1240.8721990630295,1395.8528222000853,Ground
85.01534036992739,91.61952689952507,22.05563139863566,289.51859480258554,884.6649489404041,1086.783064435563,1267.0911248276875,1289.5032292436376,1393.3551024690544,Ground
91.06264416571038,84.73136927656533,21.586402103843554,387.2293199236565,1250.1952965188595,1015.1741469921585,1292.12115999197,1371.1467099318204,1439.3916167780342,Fly
79.86059641272738,87.94108660321996,19.89391496300376,278.65639066206,902.6621161972965,1009.932861748752,1302.944055592704,1415.2648103261693,1553.914234581065,Ground
89.59821673900774,94.87282771777222,21.14221629943063,209.78421201700039,924.3236022984074,1017.5387749565239,992.5359962453632,1510.5297429458312,1380.4527356414026,Ground
81.30740705069813,86.30776410778981,26.8424534903277,252.74670554999244,1179.6360822926963,1100.4229858994152,1059.992927681699,1309.8933787028884,1297.6746776624416,Ground
84.24229554582053,86.9126771757906,25.217360971512612,273.16031460495617,1017.5286778933923,1094.0173856470096,1274.3651775540172,1243.3294891944947,1328.001046677806,Ground
85.45118135942862,90.82231356396464,22.052341680389173,232.40393410917454,870.6492374795904,1059.5638007309976,1004.4951229681717,1243.0851801327467,1357.8801183387086,Ground
85.29895409526293,92.69657208770302,21.469149253605362,352.8271782414771,890.783636728191,1026.4798965236753,1070.9438578053782,1313.5859424081657,1401.9599616577627,Ground
86.626560627603,85.74275686765534,28.565375606420986,429.8698646610811,1045.6579570223482,1161.3977202129302,1227.954492932494,1362.4891005056436,1460.8975333134424,Fly
88.83303046569553,90.68477313083332,16.240387595564542,233.9378616941044,1039.5819781095922,850.1938982507061,1239.931760171913,1409.4179547521476,1189.311088537392,Ground
